Date,Time (Local),Eyeballs ,Zeroes ,Completed Trips ,Requests ,Unique Drivers
10-Sep-12,7,5,0,2,2,9
,8,6,0,2,2,14
,9,8,3,0,0,14
,10,9,2,0,1,14
,11,11,1,4,4,11
,12,12,0,2,2,11
,13,9,1,0,0,9
,14,12,1,0,0,9
,15,11,2,1,2,7
,16,11,2,3,4,6
,17,12,2,3,4,4
,18,11,1,3,4,7
,19,13,2,2,3,7
,20,11,1,0,0,5
,21,11,0,1,1,3
,22,16,3,0,2,4
,23,21,5,3,3,4
11-Sep-12,0,9,3,1,1,3
,1,3,2,0,1,3
,2,1,1,0,0,1
,3,1,1,0,0,1
,4,1,1,0,0,1
,5,1,1,0,0,0
,6,7,3,2,3,3
,7,10,0,2,2,5
,8,11,2,0,0,6
,9,15,2,0,0,6
,10,12,1,1,1,8
,11,16,1,0,0,9
,12,5,1,0,0,8
,13,11,2,1,1,7
,14,19,1,1,2,5
,15,19,1,2,2,9
,16,19,3,1,1,7
,17,23,5,0,0,9
,18,21,1,7,8,11
,19,28,2,8,9,12
,20,22,2,7,7,10
,21,19,6,5,5,5
,22,26,10,2,6,2
,23,15,12,0,3,1
12-Sep-12,0,9,2,0,1,2
,1,6,0,1,1,2
,2,3,3,0,1,0
,3,2,2,0,0,0
,4,1,1,0,0,0
,5,1,1,0,1,1
,6,7,2,3,4,3
,7,10,5,2,5,4
,8,28,2,8,8,11
,9,25,1,5,6,12
,10,25,3,3,4,15
,11,29,2,7,8,16
,12,32,2,8,8,14
,13,23,0,9,9,14
,14,25,1,5,6,15
,15,26,4,7,11,16
,16,27,4,7,7,14
,17,19,1,5,7,13
,18,24,3,4,4,12
,19,20,2,5,6,11
,20,20,2,2,3,9
,21,29,4,4,4,7
,22,18,2,4,5,7
,23,14,6,2,5,3
13-Sep-12,0,11,11,0,2,0
,1,6,6,0,1,0
,2,5,5,0,3,0
,3,2,2,0,2,0
,4,1,1,0,0,0
,5,1,1,0,1,0
,6,4,1,2,2,2
,7,10,1,1,1,4
,8,9,1,1,1,8
,9,14,4,0,0,9
,10,15,3,2,2,10
,11,14,5,1,2,9
,12,18,3,4,5,10
,13,18,7,3,4,8
,14,12,3,0,1,10
,15,17,4,3,3,12
,16,23,1,2,3,14
,17,21,3,1,3,14
,18,21,3,3,3,11
,19,19,3,7,8,10
,20,13,0,3,3,9
,21,25,4,6,7,9
,22,25,2,2,3,7
,23,21,6,4,7,3
14-Sep-12,0,10,1,3,4,3
,1,10,9,2,5,2
,2,5,3,1,3,1
,3,3,3,0,1,0
,4,1,1,0,1,0
,5,5,4,1,2,1
,6,7,2,2,3,4
,7,9,1,2,2,5
,8,10,1,1,1,7
,9,22,2,4,4,7
,10,11,5,1,2,10
,11,22,2,3,4,12
,12,18,2,3,4,11
,13,20,2,1,1,10
,14,23,3,1,2,7
,15,20,5,2,3,10
,16,18,3,3,4,11
,17,34,4,3,5,13
,18,40,2,8,9,14
,19,46,6,9,10,15
,20,38,4,8,9,14
,21,49,6,8,9,17
,22,60,3,18,20,19
,23,68,18,24,29,18
15-Sep-12,0,45,2,23,24,19
,1,37,1,12,14,18
,2,38,17,22,27,12
,3,17,2,5,7,8
,4,5,1,0,0,1
,5,1,1,0,1,0
,6,3,3,0,0,0
,7,9,7,1,1,1
,8,13,10,2,3,2
,9,14,9,1,3,2
,10,20,5,2,3,2
,11,23,5,2,2,3
,12,28,11,2,2,3
,13,34,6,6,7,4
,14,34,11,6,10,6
,15,31,15,3,8,5
,16,20,3,4,5,8
,17,42,9,8,8,10
,18,59,25,15,25,10
,19,73,38,17,34,14
,20,53,15,13,20,17
,21,59,4,15,20,19
,22,69,26,24,34,16
,23,61,32,16,24,13
16-Sep-12,0,44,2,17,20,15
,1,38,3,17,17,15
,2,29,2,13,15,12
,3,14,2,4,6,7
,4,6,6,0,3,2
,5,5,5,0,1,1
,6,3,3,0,2,0
,7,3,0,0,0,1
,8,8,2,1,2,3
,9,11,3,3,3,3
,10,20,2,1,1,4
,11,19,5,2,2,4
,12,18,3,3,4,7
,13,21,4,0,0,5
,14,23,13,4,7,5
,15,14,3,3,3,7
,16,25,5,3,3,10
,17,17,2,2,3,10
,18,18,1,3,3,10
,19,16,2,1,2,8
,20,25,10,7,10,7
,21,25,11,5,5,6
,22,13,2,2,3,4
,23,11,2,2,3,4
17-Sep-12,0,11,5,0,2,2
,1,6,6,0,2,0
,2,3,3,0,1,0
,3,1,1,0,0,0
,4,2,1,0,1,0
,5,4,1,1,1,4
,6,7,0,4,4,5
,7,11,4,0,0,8
,8,6,1,1,1,10
,9,16,0,4,4,10
,10,21,4,1,3,10
,11,11,4,0,0,9
,12,13,1,2,2,9
,13,19,3,1,2,8
,14,19,3,0,1,8
,15,20,3,1,1,8
,16,23,7,3,5,7
,17,23,3,8,10,9
,18,35,7,8,9,12
,19,31,6,8,9,13
,20,21,2,4,4,11
,21,27,3,2,3,8
,22,18,1,6,6,8
,23,29,7,3,7,5
18-Sep-12,0,28,18,3,13,4
,1,4,2,2,2,1
,2,9,9,0,7,0
,3,4,4,0,3,0
,4,1,1,0,0,0
,5,2,0,0,0,0
,6,2,0,0,0,3
,7,9,1,3,3,5
,8,11,1,2,2,9
,9,15,1,0,1,11
,10,16,2,0,1,9
,11,12,2,2,4,9
,12,18,2,3,3,10
,13,17,3,0,0,11
,14,20,2,1,4,7
,15,17,4,1,3,7
,16,20,5,3,3,6
,17,18,4,3,4,7
,18,17,4,1,1,9
,19,26,4,6,8,8
,20,21,3,2,5,5
,21,24,6,4,5,5
,22,17,5,5,6,4
,23,14,11,1,3,4
19-Sep-12,0,9,1,0,0,3
,1,3,0,0,0,3
,2,3,0,2,2,1
,3,1,1,0,1,0
,4,1,1,0,0,0
,5,2,0,0,0,1
,6,7,1,2,3,5
,7,8,0,2,2,7
,8,11,1,2,2,6
,9,14,3,0,0,10
,10,12,3,0,2,12
,11,16,3,4,5,12
,12,19,3,1,1,11
,13,14,4,3,4,7
,14,9,2,1,1,8
,15,17,2,0,0,9
,16,22,5,2,4,10
,17,22,1,2,3,16
,18,28,5,3,3,13
,19,18,2,2,2,13
,20,19,1,2,2,12
,21,25,2,2,5,10
,22,23,3,9,10,9
,23,16,2,2,2,8
20-Sep-12,0,10,4,2,3,4
,1,1,0,0,1,1
,2,2,2,0,1,0
,3,2,2,0,2,0
,4,2,2,0,0,0
,5,1,1,0,0,0
,6,3,1,1,1,2
,7,5,2,2,2,4
,8,7,1,1,2,6
,9,11,2,1,2,7
,10,16,2,2,2,9
,11,15,3,2,3,12
,12,16,2,3,3,12
,13,15,2,0,0,11
,14,19,4,1,2,11
,15,18,5,2,3,12
,16,21,2,4,5,9
,17,37,4,5,9,8
,18,26,5,3,4,11
,19,36,7,14,16,13
,20,26,3,4,6,11
,21,30,5,6,8,13
,22,40,7,12,15,13
,23,16,0,5,5,10
21-Sep-12,0,22,1,10,11,9
,1,9,1,5,5,7
,2,5,0,1,2,5
,3,3,3,0,0,0
,4,0,0,0,0,0
,5,1,1,0,0,0
,6,6,3,0,2,2
,7,7,3,0,0,4
,8,3,0,0,0,6
,9,8,0,1,1,7
,10,17,4,0,1,8
,11,23,5,1,1,10
,12,22,3,1,1,9
,13,34,4,5,7,9
,14,35,5,9,10,12
,15,30,3,4,7,12
,16,49,4,11,12,15
,17,68,25,26,26,20
,18,62,6,15,22,26
,19,47,3,16,19,30
,20,63,8,14,21,28
,21,59,8,12,17,27
,22,73,4,23,29,26
,23,94,30,36,46,26
22-Sep-12,0,62,4,19,27,27
,1,39,5,17,24,24
,2,30,0,9,18,12
,3,11,3,3,3,8
,4,6,4,2,3,1
,5,5,4,1,2,0
,6,5,5,0,1,0
,7,8,3,0,0,1
,8,15,5,3,5,3
,9,15,5,1,1,6
,10,30,7,3,3,9
,11,33,6,5,7,9
,12,34,5,12,14,9
,13,61,25,12,17,10
,14,62,10,16,21,15
,15,75,15,18,23,16
,16,58,17,15,18,16
,17,41,2,8,10,20
,18,49,7,11,13,16
,19,43,10,21,24,15
,20,49,4,7,14,18
,21,53,3,15,19,21
,22,77,11,25,33,19
,23,99,59,25,44,17
23-Sep-12,0,62,25,23,32,18
,1,38,1,15,23,18
,2,34,4,13,18,18
,3,19,1,9,9,16
,4,1,0,0,1,4
,5,9,9,0,4,0
,6,8,7,1,1,1
,7,7,3,2,2,2
,8,13,3,0,0,4
,9,14,4,0,1,6
,10,19,3,2,2,9
,11,20,3,3,5,8
,12,25,3,2,4,8
,13,15,4,3,3,9
,14,20,2,4,4,7
,15,22,4,0,2,9
,16,22,0,7,8,11
,17,31,9,4,6,12
,18,36,4,8,11,12
,19,32,9,4,6,11
,20,29,6,3,3,7
,21,24,6,3,4,5
,22,17,2,2,2,6
,23,9,3,3,3,3
24-Sep-12,0,7,2,1,2,2
,1,7,7,0,0,0
,2,3,3,0,2,0
,3,3,3,0,1,0
,4,1,1,0,0,0
,5,4,2,1,1,3
,6,9,1,2,2,7
